t,x,y,doc_id,hilbert_idx
3413110,360,134,md_34904,120446
3413113,361,134,md_34904,120445
3413114,362,135,md_34904,120443
3413115,362,136,md_34904,120364
3413116,362,137,md_34904,120365
3413117,362,136,md_34904,120364
3413118,362,137,md_34904,120365
3413119,363,138,md_34904,120353
3413121,364,138,md_34904,120372
3413122,364,139,md_34904,120373
3413124,364,140,md_34904,120330
3413126,365,141,md_34904,120328
3413127,366,142,md_34904,120322
3413128,366,141,md_34904,120327
3413130,366,142,md_34904,120322
3413131,366,143,md_34904,120321
3413133,366,144,md_34904,120660
3413134,366,145,md_34904,120663
3413135,367,145,md_34904,120662
3413138,367,146,md_34904,120665
3413139,368,147,md_34904,119973
3413140,367,147,md_34904,120666
3413141,367,149,md_34904,120678
3413142,368,149,md_34904,119961
3413145,368,150,md_34904,119958
3413148,368,151,md_34904,119957
3413150,368,152,md_34904,119914
3413151,368,153,md_34904,119913
3413154,368,154,md_34904,119910
3413155,368,155,md_34904,119909
3413156,367,155,md_34904,120730
3413157,368,155,md_34904,119909
3413158,367,158,md_34904,120745
3413159,368,157,md_34904,119897
3413160,368,158,md_34904,119894
3413161,367,158,md_34904,120745
3413162,368,159,md_34904,119893
3413163,367,159,md_34904,120746
3413164,368,161,md_34904,119555
3413165,366,161,md_34904,119549
3413167,367,162,md_34904,119537
3413168,366,162,md_34904,119538
3413169,367,163,md_34904,119536
3413170,366,163,md_34904,119539
3413173,366,165,md_34904,119533
3413174,366,167,md_34904,119529
3413176,366,166,md_34904,119528
3413177,365,167,md_34904,119526
3413178,364,169,md_34904,119323
3413181,364,170,md_34904,119324
3413183,363,171,md_34904,119328
3413184,364,172,md_34904,119306
3413185,363,172,md_34904,119349
3413186,362,172,md_34904,119348
3413188,362,173,md_34904,119351
3413189,362,174,md_34904,119352
3413190,361,175,md_34904,119356
3413191,362,176,md_34904,119236
3413192,360,176,md_34904,119232
3413193,360,177,md_34904,119233
3413194,361,178,md_34904,119245
3413196,359,178,md_34904,119227
3413199,359,179,md_34904,119226
3413200,357,182,md_34904,119181
3413202,357,183,md_34904,119182
3413204,355,184,md_34904,119151
3413205,354,186,md_34904,119138
3413207,353,186,md_34904,119143
3413208,353,188,md_34904,119131
3413211,351,188,md_34904,122533
3413212,350,189,md_34904,122535
3413213,349,191,md_34904,122540
3413214,348,191,md_34904,122543
3413215,348,193,md_34904,117747
3413216,347,192,md_34904,117743
3413218,347,193,md_34904,117742
3413219,346,193,md_34904,117741
3413220,345,193,md_34904,117736
3413221,344,194,md_34904,117734
3413222,343,195,md_34904,117530
3413223,343,196,md_34904,117541
3413224,340,197,md_34904,117537
3413225,340,198,md_34904,117550
3413226,340,200,md_34904,117626
3413227,340,202,md_34904,117622
3413228,340,201,md_34904,117625
3413230,338,204,md_34904,117598
3413231,338,205,md_34904,117597
3413232,336,204,md_34904,117584
3413233,336,205,md_34904,117587
3413235,335,205,md_34904,117262
3413236,334,209,md_34904,117245
3413238,332,208,md_34904,117242
3413239,332,209,md_34904,117241
3413240,331,209,md_34904,117190
3413241,331,211,md_34904,117194
3413242,330,211,md_34904,117195
3413244,329,212,md_34904,117201
3413245,327,213,md_34904,117124
3413246,326,214,md_34904,117122
3413248,325,215,md_34904,117134
3413249,324,217,md_34904,117107
3413250,323,217,md_34904,117102
3413251,322,219,md_34904,117091
3413253,321,220,md_34904,117083
3413255,320,221,md_34904,117081
3413257,319,223,md_34904,128682
3413258,319,225,md_34904,129366
3413260,317,226,md_34904,129373
3413262,316,228,md_34904,129376
3413263,316,229,md_34904,129377
3413265,314,230,md_34904,129394
3413266,314,231,md_34904,129393
3413267,314,233,md_34904,129421
3413268,312,234,md_34904,129412
3413269,312,236,md_34904,129466
3413270,312,235,md_34904,129413
3413271,311,237,md_34904,129486
3413272,311,239,md_34904,129472
3413273,310,239,md_34904,129475
3413274,310,240,md_34904,129596
3413275,310,241,md_34904,129597
3413277,308,242,md_34904,129590
3413278,306,244,md_34904,129566
3413279,306,245,md_34904,129565
3413280,306,246,md_34904,129560
3413281,305,248,md_34904,129769
3413282,305,249,md_34904,129768
3413283,303,250,md_34904,129851
3413284,302,250,md_34904,129848
3413285,302,251,md_34904,129849
3413286,301,252,md_34904,129801
3413287,301,254,md_34904,129805
3413288,299,255,md_34904,129808
3413289,299,256,md_34904,132335
3413290,298,257,md_34904,132333
3413291,297,258,md_34904,132327
3413292,297,259,md_34904,132324
3413293,295,260,md_34904,132133
3413294,295,262,md_34904,132137
3413296,293,263,md_34904,132140
3413297,291,265,md_34904,132166
3413299,291,266,md_34904,132169
3413300,289,268,md_34904,132177
3413301,289,270,md_34904,132183
3413302,288,270,md_34904,132180
3413303,287,272,md_34904,131839
3413304,287,273,md_34904,131836
3413305,285,273,md_34904,131826
3413306,285,275,md_34904,131830
3413307,283,276,md_34904,131807
3413309,282,278,md_34904,131794
3413310,281,280,md_34904,131715
3413311,281,281,md_34904,131714
3413312,278,283,md_34904,131699
3413313,279,284,md_34904,131695
3413314,278,284,md_34904,131694
3413315,276,286,md_34904,131684
3413316,276,287,md_34904,131685
3413317,275,289,md_34904,134564
3413318,275,291,md_34904,134560
3413319,272,292,md_34904,134576
3413320,272,293,md_34904,134577
3413321,272,294,md_34904,134590
3413322,271,295,md_34904,134720
3413323,270,297,md_34904,134717
3413325,269,300,md_34904,134665
3413326,267,302,md_34904,134673
3413327,266,303,md_34904,134675
3413328,266,305,md_34904,134989
3413329,264,306,md_34904,134980
3413330,264,308,md_34904,135034
3413331,263,310,md_34904,134955
3413332,261,312,md_34904,135129
3413333,261,313,md_34904,135128
3413334,259,314,md_34904,135139
3413335,259,316,md_34904,135157
3413336,257,318,md_34904,135165
3413337,257,319,md_34904,135164
3413338,256,321,md_34904,135171
3413339,255,323,md_34904,217072
3413340,253,324,md_34904,217057
3413341,252,326,md_34904,217060
3413342,250,328,md_34904,216870
3413343,250,329,md_34904,216871
3413344,248,331,md_34904,216879
3413345,247,332,md_34904,216901
3413346,246,336,md_34904,216596
3413347,245,336,md_34904,216595
3413348,244,338,md_34904,216606
3413349,242,339,md_34904,216585
3413350,242,341,md_34904,216631
3413351,240,343,md_34904,216639
3413353,238,345,md_34904,216509
3413354,237,346,md_34904,216503
3413355,236,347,md_34904,216501
3413356,235,348,md_34904,216479
3413357,234,348,md_34904,216478
3413358,231,350,md_34904,216427
3413359,230,350,md_34904,216424
3413360,229,351,md_34904,216422
3413361,228,353,md_34904,213659
3413362,226,353,md_34904,213671
3413363,224,354,md_34904,213676
3413364,224,355,md_34904,213679
3413365,222,355,md_34904,215033
3412989,282,45,md_34905,68893
3413002,287,48,md_34905,68863
3413003,288,47,md_34905,67669
3413006,289,47,md_34905,67670
3413008,290,47,md_34905,67673
3413009,289,47,md_34905,67670
3413010,288,47,md_34905,67669
3413012,288,46,md_34905,67668
3413013,287,46,md_34905,68867
3413014,287,44,md_34905,68869
3413015,286,45,md_34905,68871
3413019,287,45,md_34905,68868
3413030,290,44,md_34905,67678
3413031,289,44,md_34905,67665
3413032,288,45,md_34905,67667
3413034,287,44,md_34905,68869
3413036,287,45,md_34905,68868
3413052,282,64,md_34905,69966
3413054,284,64,md_34905,69968
3413056,285,63,md_34905,68612
3413057,286,63,md_34905,68611
3413058,287,63,md_34905,68608
3413065,291,63,md_34905,68592
3413068,293,63,md_34905,68588
3413069,294,63,md_34905,68587
3413071,295,63,md_34905,68586
3413072,296,63,md_34905,68373
3413074,297,62,md_34905,68375
3413075,298,62,md_34905,68370
3413076,299,62,md_34905,68369
3413078,300,61,md_34905,68363
3413079,301,62,md_34905,68365
3413081,302,62,md_34905,68354
3413082,302,61,md_34905,68359
3413084,304,61,md_34905,68337
3413085,304,62,md_34905,68350
3413086,305,62,md_34905,68349
3413087,306,61,md_34905,68343
3413088,306,62,md_34905,68344
3413089,307,61,md_34905,68342
3413091,308,62,md_34905,68294
3413092,309,61,md_34905,68296
3413093,309,63,md_34905,68292
3413095,310,63,md_34905,68291
3413096,312,63,md_34905,68287
3413103,282,51,md_34905,68811
3413106,318,61,md_34905,68263
3413108,319,61,md_34905,68262
3413109,320,61,md_34905,79193
3413111,321,61,md_34905,79192
3413112,322,61,md_34905,79197
3413113,323,61,md_34905,79198
3413114,323,60,md_34905,79199
3413122,322,41,md_34905,79469
3413124,323,41,md_34905,79470
3413127,323,40,md_34905,79471
3413143,282,51,md_34905,68811
3413151,287,47,md_34905,68864
3413152,288,47,md_34905,67669
3413154,289,47,md_34905,67670
3413155,291,47,md_34905,67674
3413156,290,47,md_34905,67673
3413157,291,46,md_34905,67675
3413161,292,45,md_34905,67683
3413162,291,44,md_34905,67679
3413163,287,44,md_34905,68869
3413164,287,43,md_34905,68922
3413165,287,44,md_34905,68869
3413166,288,44,md_34905,67664
3413167,287,44,md_34905,68869
3413168,287,45,md_34905,68868
3413169,287,44,md_34905,68869
3413171,287,45,md_34905,68868
3413175,287,46,md_34905,68867
3413176,291,45,md_34905,67676
3413177,291,46,md_34905,67675
3413178,291,44,md_34905,67679
3413179,291,45,md_34905,67676
3413181,291,44,md_34905,67679
3413182,289,43,md_34905,67660
3413183,288,43,md_34905,67663
3413186,287,43,md_34905,68922
3413187,287,44,md_34905,68869
3413188,287,43,md_34905,68922
3413189,286,43,md_34905,68921
3413190,287,43,md_34905,68922
3413191,282,43,md_34905,68899
3413207,282,66,md_34905,69960
3413216,282,43,md_34905,68899
3413224,321,49,md_34905,79272
3413226,322,49,md_34905,79277
3413227,323,48,md_34905,79279
3413229,303,63,md_34905,68352
3413230,303,64,md_34905,73471
3413231,304,64,md_34905,73472
3413232,306,62,md_34905,68344
3413233,306,63,md_34905,68347
3413234,307,63,md_34905,68346
3413235,308,63,md_34905,68293
3413237,309,63,md_34905,68292
3413240,312,64,md_34905,73706
3413242,314,64,md_34905,73708
3413244,282,46,md_34905,68882
3413247,318,62,md_34905,68264
3413249,320,63,md_34905,79189
3413250,321,61,md_34905,79192
3413251,321,62,md_34905,79191
3413252,322,62,md_34905,79186
3413103,291,45,md_34906,67676
3413104,287,47,md_34906,68864
3413105,286,47,md_34906,68865
3413109,287,47,md_34906,68864
3413110,288,47,md_34906,67669
3413111,289,46,md_34906,67671
3413112,291,43,md_34906,67658
3413160,291,45,md_34906,67676
3413161,282,46,md_34906,68882
3413162,282,45,md_34906,68893
3413173,323,48,md_34906,79279
3413174,323,47,md_34906,79440
3413175,322,47,md_34906,79443
3413176,321,47,md_34906,79444
3413177,322,49,md_34906,79277
3413178,323,49,md_34906,79278
3413180,322,49,md_34906,79277
3413187,350,105,md_34906,75543
3413191,349,106,md_34906,75549
3413196,349,107,md_34906,75550
3413198,348,107,md_34906,75551
3413227,349,107,md_34906,75550
3413228,349,106,md_34906,75549
3413230,349,107,md_34906,75550
3413231,349,106,md_34906,75549
3413232,349,108,md_34906,75531
3413233,349,109,md_34906,75528
3413235,351,109,md_34906,75534
3413236,351,110,md_34906,75521
3413237,353,109,md_34906,76018
3413238,355,106,md_34906,76003
3413239,355,109,md_34906,76022
3413240,355,106,md_34906,76003
3413242,355,109,md_34906,76022
3413243,355,107,md_34906,76000
3413245,357,110,md_34906,75975
3413246,358,110,md_34906,75970
3413247,359,110,md_34906,75969
3413248,359,111,md_34906,75968
3413249,360,111,md_34906,75967
3413250,361,111,md_34906,75966
3413252,362,112,md_34906,76268
3413253,362,110,md_34906,75954
3413254,363,113,md_34906,76270
3413257,364,113,md_34906,76275
3413258,365,114,md_34906,76279
3413259,366,114,md_34906,76280
3413260,366,115,md_34906,76281
3413262,368,114,md_34906,76292
3413263,368,116,md_34906,76346
3413264,369,117,md_34906,76344
3413266,370,117,md_34906,76343
3413267,371,117,md_34906,76340
3413269,372,117,md_34906,76321
3413271,374,117,md_34906,76327
3413272,375,117,md_34906,76326
3413273,376,117,md_34906,76505
3413275,377,117,md_34906,76504
3413276,379,118,md_34906,76497
3413277,379,117,md_34906,76510
3413279,380,117,md_34906,76491
3413280,382,117,md_34906,76487
3413283,383,117,md_34906,76484
3413286,385,117,md_34906,98226
3413287,387,118,md_34906,98233
3413288,388,118,md_34906,98182
3413289,387,118,md_34906,98233
3413293,388,118,md_34906,98182
3413318,387,112,md_34906,98213
3413358,388,112,md_34906,98202
3413360,387,113,md_34906,98212
3413362,387,112,md_34906,98213
3413378,322,58,md_34906,79202
3413381,321,59,md_34906,79204
3413382,320,59,md_34906,79205
3413383,319,59,md_34906,68250
3413384,319,60,md_34906,68261
3413385,318,60,md_34906,68260
3413386,317,60,md_34906,68259
3413391,312,63,md_34906,68287
3413393,310,63,md_34906,68291
3413394,310,61,md_34906,68301
3413395,308,62,md_34906,68294
3413396,306,62,md_34906,68344
3413397,306,63,md_34906,68347
3413398,305,63,md_34906,68348
3413399,303,63,md_34906,68352
3413400,302,64,md_34906,73468
3413401,301,64,md_34906,73467
3413402,300,65,md_34906,73465
3413403,299,65,md_34906,73414
3413404,298,64,md_34906,73412
3413090,475,292,md_34907,154997
3413092,474,292,md_34907,154996
3413093,474,289,md_34907,154983
3413094,473,291,md_34907,154990
3413095,473,292,md_34907,154995
3413096,472,292,md_34907,154992
3413097,471,293,md_34907,155022
3413098,471,292,md_34907,155023
3413099,469,295,md_34907,155012
3413100,470,294,md_34907,155010
3413101,469,295,md_34907,155012
3413102,467,295,md_34907,155066
3413103,467,297,md_34907,155084
3413104,467,296,md_34907,155087
3413105,465,298,md_34907,155079
3413106,466,298,md_34907,155080
3413108,464,299,md_34907,155077
3413109,462,299,md_34907,155193
3413110,461,301,md_34907,155144
3413111,461,300,md_34907,155145
3413113,458,302,md_34907,155154
3413115,457,303,md_34907,155156
3413116,456,305,md_34907,155459
3413117,456,304,md_34907,155456
3413118,454,305,md_34907,155453
3413119,452,307,md_34907,155445
3413120,452,308,md_34907,155424
3413121,452,307,md_34907,155445
3413122,451,307,md_34907,155402
3413124,449,308,md_34907,155409
3413126,449,310,md_34907,155415
3413127,447,313,md_34907,150206
3413128,447,311,md_34907,150208
3413130,445,313,md_34907,150200
3413131,443,313,md_34907,150150
3413132,442,315,md_34907,150155
3413133,442,314,md_34907,150152
3413134,440,316,md_34907,150160
3413135,441,316,md_34907,150161
3413136,439,321,md_34907,161172
3413137,439,318,md_34907,150123
3413138,437,318,md_34907,150119
3413139,437,320,md_34907,161177
3413140,437,319,md_34907,150118
3413141,434,321,md_34907,161191
3413143,433,321,md_34907,161192
3413144,432,323,md_34907,161199
3413145,431,323,md_34907,161360
3413146,430,324,md_34907,161356
3413147,430,323,md_34907,161361
3413148,427,324,md_34907,161397
3413149,426,326,md_34907,161400
3413150,426,324,md_34907,161396
3413151,423,326,md_34907,161409
3413152,422,326,md_34907,161410
3413153,420,327,md_34907,161413
3413154,420,328,md_34907,161488
3413155,419,327,md_34907,161466
3413156,416,329,md_34907,161475
3413157,415,328,md_34907,162111
3413158,414,330,md_34907,162104
3413159,413,329,md_34907,162098
3413160,412,330,md_34907,162100
3413161,409,331,md_34907,162084
3413162,409,330,md_34907,162087
3413163,407,332,md_34907,162277
3413164,407,331,md_34907,162266
3413165,404,333,md_34907,162273
3413166,404,332,md_34907,162272
3413167,402,332,md_34907,162294
3413168,401,334,md_34907,162301
3413169,400,334,md_34907,162300
3413170,397,335,md_34907,162318
3413171,396,334,md_34907,162316
3413172,394,336,md_34907,162638
3413173,393,337,md_34907,162626
3413174,392,336,md_34907,162624
3413175,390,338,md_34907,162610
3413176,390,337,md_34907,162621
3413177,389,338,md_34907,162615
3413179,387,339,md_34907,162570
3413181,383,340,md_34907,142415
3413182,382,341,md_34907,142413
3413183,381,343,md_34907,142404
3413184,380,342,md_34907,142406
3413185,379,344,md_34907,142383
3413186,377,343,md_34907,142460
3413188,376,344,md_34907,142378
3413189,374,345,md_34907,142551
3413190,372,345,md_34907,142545
3413192,370,345,md_34907,142541
3413193,369,346,md_34907,142535
3413194,368,346,md_34907,142532
3413196,366,347,md_34907,142609
3413197,364,347,md_34907,142623
3413198,364,348,md_34907,142602
3413199,362,347,md_34907,142625
3413200,362,348,md_34907,142644
3413201,361,348,md_34907,142643
3413202,359,348,md_34907,142661
3413203,359,350,md_34907,142659
3413204,358,350,md_34907,142658
3413205,357,350,md_34907,142669
3413206,356,350,md_34907,142668
3413207,354,351,md_34907,142675
3413208,353,351,md_34907,142676
3413209,351,351,md_34907,139946
3413210,351,352,md_34907,141311
3413212,349,352,md_34907,141307
3413213,348,353,md_34907,141305
3413215,347,353,md_34907,141254
3413216,346,354,md_34907,141256
3413217,344,355,md_34907,141263
3413218,342,355,md_34907,141241
3413219,340,355,md_34907,141237
3413220,339,355,md_34907,141216
3413221,338,355,md_34907,141219
3413222,336,356,md_34907,141210
3413223,335,356,md_34907,140389
3413224,334,357,md_34907,140391
3412621,477,159,md_34900,103078
3412625,471,159,md_34900,103018
3412626,471,158,md_34900,103019
3412627,471,156,md_34900,103023
3412628,469,158,md_34900,103015
3412631,463,155,md_34900,102832
3412632,463,154,md_34900,102833
3412633,462,154,md_34900,102834
3412634,460,154,md_34900,102838
3412635,459,154,md_34900,102793
3412636,458,156,md_34900,102814
3412640,453,151,md_34900,102700
3412641,452,151,md_34900,102703
3412642,451,151,md_34900,102704
3412643,449,153,md_34900,102722
3412646,445,149,md_34900,101448
3412647,444,149,md_34900,101449
3412648,443,149,md_34900,101494
3412649,441,148,md_34900,101491
3412650,439,149,md_34900,101518
3412651,438,149,md_34900,101517
3412653,436,148,md_34900,101514
3412654,436,146,md_34900,101532
3412655,434,146,md_34900,101538
3412656,432,145,md_34900,101547
3412660,428,142,md_34900,101894
3412662,426,142,md_34900,101944
3412663,424,141,md_34900,101937
3412664,422,141,md_34900,101959
3412665,421,141,md_34900,101960
3412666,420,140,md_34900,101962
3412667,419,139,md_34900,101984
3412669,418,139,md_34900,101987
3412671,415,138,md_34900,98713
3412673,413,138,md_34900,98717
3412674,411,137,md_34900,98700
3412675,410,137,md_34900,98701
3412676,409,136,md_34900,98689
3412677,407,135,md_34900,98602
3412678,407,134,md_34900,98603
3412679,406,134,md_34900,98600
3412681,404,134,md_34900,98596
3412682,404,133,md_34900,98595
3412683,402,134,md_34900,98584
3412684,400,133,md_34900,98579
3412686,398,133,md_34900,98503
3412687,398,132,md_34900,98502
3412688,396,131,md_34900,98549
3412689,394,132,md_34900,98524
3412690,394,130,md_34900,98530
3412691,392,130,md_34900,98534
3412692,390,130,md_34900,98328
3412693,389,130,md_34900,98333
3412694,389,129,md_34900,98322
3412695,387,129,md_34900,98316
3412697,385,129,md_34900,98306
3412698,383,128,md_34900,120149
3412699,382,128,md_34900,120150
3412700,381,128,md_34900,120153
3412701,379,130,md_34900,120163
3412702,378,126,md_34900,76440
3412703,377,126,md_34900,76439
3412704,377,127,md_34900,76438
3412705,374,126,md_34900,76392
3412706,373,126,md_34900,76391
3412707,372,125,md_34900,76387
3412709,370,125,md_34900,76381
3412710,368,125,md_34900,76371
3412711,367,124,md_34900,76207
3412712,366,124,md_34900,76206
3412714,364,124,md_34900,76192
3412715,362,124,md_34900,76190
3412716,360,122,md_34900,76174
3412718,359,122,md_34900,76145
3412719,357,122,md_34900,76151
3412720,355,122,md_34900,76105
3412721,354,121,md_34900,76103
3412722,353,121,md_34900,76098
3412723,351,121,md_34900,75454
3412724,349,121,md_34900,75448
3412725,348,121,md_34900,75449
3412726,347,121,md_34900,75398
3412728,344,121,md_34900,75393
3412729,342,120,md_34900,75388
3412730,341,120,md_34900,75387
3412731,340,120,md_34900,75386
3412732,338,120,md_34900,75332
3412733,337,120,md_34900,75331
3412734,335,120,md_34900,75199
3412735,334,120,md_34900,75196
3412736,332,120,md_34900,75194
3412737,331,119,md_34900,75216
3412738,329,120,md_34900,75139
3412739,329,119,md_34900,75220
3412740,327,118,md_34900,75049
3412741,325,118,md_34900,75053
3412742,325,119,md_34900,75052
3412743,323,118,md_34900,75059
3412744,321,118,md_34900,75069
3412745,320,118,md_34900,75068
3412746,319,118,md_34900,72387
3412747,317,118,md_34900,72397
3412748,316,118,md_34900,72396
3412749,314,117,md_34900,72413
3412750,313,117,md_34900,72408
3412751,312,117,md_34900,72409
3412752,310,117,md_34900,72231
3412753,309,117,md_34900,72226
3412754,308,117,md_34900,72225
3412755,306,117,md_34900,72247
3412756,305,117,md_34900,72248
3412757,304,116,md_34900,72250
3412758,302,117,md_34900,72135
3412759,300,116,md_34900,72138
3412760,299,117,md_34900,72158
3412761,297,116,md_34900,72155
3412763,295,116,md_34900,71973
3412764,293,116,md_34900,71971
3412765,291,116,md_34900,71989
3412766,290,116,md_34900,71990
3412767,289,116,md_34900,71993
3412768,288,116,md_34900,71994
3412769,286,116,md_34900,71366
3412770,284,116,md_34900,71370
3412771,284,117,md_34900,71371
3412772,282,116,md_34900,71388
3412773,280,116,md_34900,71386
3412774,279,115,md_34900,71194
3412775,278,114,md_34900,71192
3412776,276,115,md_34900,71199
3412777,274,116,md_34900,71222
3412778,273,116,md_34900,71225
3412779,272,117,md_34900,71227
3412780,271,117,md_34900,71108
3412804,237,116,md_34900,49633
3412805,235,116,md_34900,49631
3412806,232,116,md_34900,49616
3412807,232,117,md_34900,49619
3412808,232,116,md_34900,49616
3412812,226,117,md_34900,49565
3412835,193,120,md_34900,53185
3412836,193,121,md_34900,53186
3412871,145,115,md_34900,54446
3412887,97,133,md_34900,31762
3412889,98,136,md_34900,31974
3412890,99,136,md_34900,31973
3412892,101,136,md_34900,31961
3412893,103,135,md_34900,31786
3412894,104,136,md_34900,31872
3412895,105,135,md_34900,31870
3412896,107,134,md_34900,31859
3412897,107,138,md_34900,31883
3412898,109,133,md_34900,31842
3412899,111,133,md_34900,31846
3412900,112,133,md_34900,32665
3412901,113,133,md_34900,32664
3412902,114,133,md_34900,32669
3412903,116,133,md_34900,32651
3412904,117,133,md_34900,32648
3412905,119,129,md_34900,32700
3412906,120,136,md_34900,32554
